"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","363","TC_API_004 - Verify products API returns JSON","firefox","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","989","TC_RB_005 - Verify navigation accessible on Mobile","webkit","2026-06-04","passed","2026-06-04","Responsive & Cross Browser UI","Responsive-CrossBrowserUI.spec.js","",""
"","413","TC_HN_002 - Verify homepage title","chromium","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","777","TC_RB_001 - Verify homepage loads on Desktop","firefox","2026-06-04","passed","2026-06-04","Responsive & Cross Browser UI","Responsive-CrossBrowserUI.spec.js","",""
"","1909","TC_PF_014 - Verify page remains stable after multiple category changes","webkit","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","1874","TC_PS_007 - Search with invalid product","firefox","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","340","TC_PD_011 - Verify keyboard navigation support","chromium","2026-06-04","passed","2026-06-04","Product Details Functionality","CartManagement.spec.js","",""
"","1829","TC_AR_003 - Login with invalid email","firefox","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","736","TC_PF_002 - Verify Filters section is visible","firefox","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","469","TC_API_003 - Verify products API response time","webkit","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","532","TC_PD_001 - Verify homepage loads successfully","chromium","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","833","TC_CF_012 - Verify checkout page contains content","firefox","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","430","TC_RB_005 - Verify navigation accessible on Mobile","chromium","2026-06-04","passed","2026-06-04","Responsive & Cross Browser UI","Responsive-CrossBrowserUI.spec.js","",""
"","2825","TC_AR_003 - Login with invalid email","webkit","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","636","TC_CF_012 - Verify checkout page contains content","chromium","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","232","TC_FV_003 - Verify page contains text","chromium","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","999","TC_HN_010 - Verify page content is displayed","webkit","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","1119","TC_PD_012 - Verify page performance","webkit","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","358","TC_HN_012 - Verify homepage load performance","chromium","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","1004","TC_PD_005 - Verify page content is displayed","webkit","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","1056","TC_PD_006 - Verify page is accessible","webkit","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","754","TC_PD_002 - Verify page content exists","webkit","2026-06-04","passed","2026-06-04","Product Details Functionality","CartManagement.spec.js","",""
"","1015","TC_HN_009 - Verify page refresh functionality","chromium","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","2675","TC_FV_006 - Verify keyboard interaction works","webkit","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","2414","TC_CF_013 - Verify checkout page responds to button clicks","webkit","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","1510","TC_PF_008 - Verify Hammer filter is clickable","chromium","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","1207","TC_CF_016 - Verify URL remains stable after refresh","firefox","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","733","TC_PD_004 - Verify page renders successfully","webkit","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","766","TC_CF_003 - Verify checkout page content loads","chromium","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","3344","TC_CF_007 - Verify page accepts interaction","webkit","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","634","TC_FV_004 - Verify page is accessible","firefox","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","1520","TC_CF_002 - Verify checkout page URL","firefox","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","1120","TC_API_001 - Verify homepage returns status 200","firefox","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","407","TC_PD_006 - Verify page is accessible","chromium","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","643","TC_API_014 - Verify homepage network performance","webkit","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","828","TC_PF_006 - Verify Power Tools category navigation","firefox","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","1017","TC_AR_006 - Verify login button visibility","chromium","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","626","TC_AR_018 - Login page performance","firefox","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","1547","TC_AR_014 - Password field accepts special characters","chromium","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","1483","TC_CF_009 - Verify checkout URL contains checkout keyword","firefox","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","1016","TC_PD_003 - Verify page contains product-related information","webkit","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","1422","TC_PF_007 - Verify Other category navigation","webkit","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","902","TC_PD_009 - Verify page refresh functionality","chromium","2026-06-04","passed","2026-06-04","Product Details Functionality","CartManagement.spec.js","",""
"","1638","TC_AR_016 - Multiple invalid login attempts","webkit","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","1065","TC_PS_006 - Search using lowercase text","firefox","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","1482","TC_AR_009 - Empty email validation","webkit","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","675","TC_RB_008 - Verify no excessive horizontal scroll on mobile","webkit","2026-06-04","passed","2026-06-04","Responsive & Cross Browser UI","Responsive-CrossBrowserUI.spec.js","",""
"","815","TC_PD_012 - Verify page performance","chromium","2026-06-04","passed","2026-06-04","Product Details Functionality","CartManagement.spec.js","",""
"","1093","TC_CF_011 - Verify checkout page remains accessible","firefox","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","1557","TC_CF_017 - Verify checkout page responsiveness","webkit","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","257","has title","chromium","2026-06-04","passed","2026-06-04","","example.spec.js","",""
"","826","TC_PF_005 - Verify Hand Tools category navigation","chromium","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","2221","TC_AR_016 - Multiple invalid login attempts","chromium","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","590","TC_PD_002 - Verify page content exists","chromium","2026-06-04","passed","2026-06-04","Product Details Functionality","CartManagement.spec.js","",""
"","167","TC_FV_010 - Verify page performance","chromium","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","3094","TC_FV_008 - Verify page can be reopened","webkit","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","784","TC_PD_011 - Verify keyboard navigation support","firefox","2026-06-04","passed","2026-06-04","Product Details Functionality","CartManagement.spec.js","",""
"","1222","TC_HN_006 - Verify homepage responsive layout on mobile","firefox","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","726","TC_PS_003 - Search using valid product name","firefox","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","489","TC_PD_001 - Verify homepage loads successfully","firefox","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","501","TC_PD_007 - Verify page remains interactive","firefox","2026-06-04","passed","2026-06-04","Product Details Functionality","CartManagement.spec.js","",""
"","353","TC_API_010 - Verify GET request succeeds","firefox","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","559","TC_AR_013 - Email field accepts input","chromium","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","689","TC_PS_008 - Search with special characters","firefox","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","1116","TC_CF_006 - Verify checkout page content exists","firefox","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","677","TC_HN_008 - Verify navigation bar visibility","firefox","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","414","TC_PD_003 - Verify page contains product-related information","chromium","2026-06-04","passed","2026-06-04","Product Details Functionality","CartManagement.spec.js","",""
"","356","TC_PD_005 - Verify page content is displayed","chromium","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","565","TC_FV_007 - Verify URL is valid","chromium","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","729","TC_HN_005 - Verify no broken internal links","firefox","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","1376","TC_AR_010 - Empty password validation","webkit","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","1318","TC_PS_003 - Search using valid product name","webkit","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","1825","TC_PF_008 - Verify Hammer filter is clickable","firefox","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","517","TC_API_005 - Verify products API contains product data","webkit","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","631","TC_RB_003 - Verify homepage loads on Mobile","chromium","2026-06-04","passed","2026-06-04","Responsive & Cross Browser UI","Responsive-CrossBrowserUI.spec.js","",""
"","1808","TC_PS_007 - Search with invalid product","chromium","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","987","TC_PD_004 - Verify page renders successfully","firefox","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","1243","TC_AR_004 - Verify email field visibility","webkit","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","557","TC_FV_010 - Verify page performance","firefox","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","899","TC_PS_013 - Verify search performance","firefox","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","762","TC_CF_002 - Verify checkout page URL","chromium","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","2969","TC_AR_012 - Verify session cookies created after login","webkit","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","680","TC_AR_004 - Verify email field visibility","firefox","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","721","has title","webkit","2026-06-04","passed","2026-06-04","","example.spec.js","",""
"","1253","TC_PF_002 - Verify Filters section is visible","webkit","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","573","TC_FV_007 - Verify URL is valid","firefox","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","1231","TC_AR_013 - Email field accepts input","webkit","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","831","TC_PS_002 - Verify search box is enabled","firefox","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","485","TC_API_005 - Verify products API contains product data","firefox","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","1413","TC_CF_008 - Verify page contains buttons","firefox","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","551","TC_API_011 - Verify network requests complete successfully","firefox","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","1094","TC_PF_013 - Verify categories dropdown opens","firefox","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","803","TC_FV_003 - Verify page contains text","firefox","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","1421","TC_PS_011 - Verify search results update after new search","firefox","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","1333","TC_PD_012 - Verify page performance","webkit","2026-06-04","passed","2026-06-04","Product Details Functionality","CartManagement.spec.js","",""
"","1448","TC_CF_013 - Verify checkout page responds to button clicks","firefox","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","1164","TC_RB_010 - Verify page performance across viewports","firefox","2026-06-04","passed","2026-06-04","Responsive & Cross Browser UI","Responsive-CrossBrowserUI.spec.js","",""
"","1150","TC_PS_011 - Verify search results update after new search","chromium","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","2158","TC_CF_016 - Verify URL remains stable after refresh","webkit","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","1941","TC_AR_011 - Verify account access after login","chromium","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","866","TC_PF_014 - Verify page remains stable after multiple category changes","chromium","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","474","TC_API_004 - Verify products API returns JSON","webkit","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","584","TC_HN_001 - Verify homepage loads successfully","firefox","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","726","TC_HN_003 - Verify navigation links are accessible","firefox","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","989","TC_PD_006 - Verify page is accessible","webkit","2026-06-04","passed","2026-06-04","Product Details Functionality","CartManagement.spec.js","",""
"","1025","TC_AR_006 - Verify login button visibility","webkit","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","765","TC_PD_012 - Verify page performance","firefox","2026-06-04","passed","2026-06-04","Product Details Functionality","CartManagement.spec.js","",""
"","320","TC_API_013 - Verify API response body is not empty","chromium","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","610","Find Product Locators","firefox","2026-06-04","passed","2026-06-04","","locator.spec.js","",""
"","489","TC_RB_007 - Verify page remains usable after resize","chromium","2026-06-04","passed","2026-06-04","Responsive & Cross Browser UI","Responsive-CrossBrowserUI.spec.js","",""
"","2208","TC_CF_014 - Verify keyboard navigation support","webkit","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","451","TC_API_003 - Verify products API response time","firefox","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","811","Find Product Locators","chromium","2026-06-04","passed","2026-06-04","","locator.spec.js","",""
"","442","TC_CF_018 - Verify checkout page performance","chromium","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","611","TC_HN_010 - Verify page content is displayed","chromium","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","949","TC_CF_011 - Verify checkout page remains accessible","chromium","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","481","TC_PD_008 - Verify buttons exist on page","firefox","2026-06-04","passed","2026-06-04","Product Details Functionality","CartManagement.spec.js","",""
"","417","TC_API_010 - Verify GET request succeeds","chromium","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","434","get started link","chromium","2026-06-04","passed","2026-06-04","","example.spec.js","",""
"","1503","TC_PS_009 - Search with numeric values","webkit","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","567","TC_FV_001 - Verify homepage loads","firefox","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","1323","TC_PF_014 - Verify page remains stable after multiple category changes","firefox","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","497","TC_FV_002 - Verify page content exists","webkit","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","410","TC_HN_003 - Verify navigation links are accessible","chromium","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","1060","TC_PF_012 - Verify filter panel remains visible after category selection","firefox","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","775","TC_CF_018 - Verify checkout page performance","firefox","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","428","TC_API_008 - Verify API response contains data","firefox","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","2296","TC_CF_004 - Verify checkout page is accessible","webkit","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","2372","TC_CF_012 - Verify checkout page contains content","webkit","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","658","TC_PF_011 - Verify price filter section exists","chromium","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","1160","TC_CF_016 - Verify URL remains stable after refresh","chromium","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","759","TC_PS_009 - Search with numeric values","firefox","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","3772","TC_AR_012 - Verify session cookies created after login","firefox","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","1938","TC_HN_006 - Verify homepage responsive layout on mobile","webkit","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","1595","TC_HN_009 - Verify page refresh functionality","webkit","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","380","TC_API_009 - Verify API response is not empty","firefox","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","367","TC_PD_007 - Verify page remains interactive","chromium","2026-06-04","passed","2026-06-04","Product Details Functionality","CartManagement.spec.js","",""
"","786","TC_PD_009 - Verify page refresh functionality","chromium","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","846","TC_FV_009 - Verify page remains accessible","firefox","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","1232","TC_RB_006 - Verify content visible on all screen sizes","firefox","2026-06-04","passed","2026-06-04","Responsive & Cross Browser UI","Responsive-CrossBrowserUI.spec.js","",""
"","169","TC_API_014 - Verify homepage network performance","chromium","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","425","TC_FV_009 - Verify page remains accessible","chromium","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","1860","TC_PF_005 - Verify Hand Tools category navigation","webkit","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","964","TC_PF_009 - Verify category filters exist","webkit","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","560","TC_PD_002 - Verify page content exists","chromium","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","1141","TC_PF_010 - Verify brand filters section exists","chromium","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","1844","TC_AR_012 - Verify session cookies created after login","chromium","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","1184","TC_PS_011 - Verify search results update after new search","webkit","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","526","TC_API_012 - Verify homepage loads without major network failures","firefox","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","419","TC_API_004 - Verify products API returns JSON","chromium","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","658","TC_HN_011 - Verify keyboard navigation support","firefox","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","732","TC_FV_004 - Verify page is accessible","webkit","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","480","TC_HN_008 - Verify navigation bar visibility","chromium","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","309","TC_API_006 - Verify single product API returns status 200","chromium","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","1575","TC_PS_006 - Search using lowercase text","chromium","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","1616","TC_PF_006 - Verify Power Tools category navigation","webkit","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","888","TC_PF_007 - Verify Other category navigation","firefox","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","757","TC_PD_003 - Verify page contains product-related information","webkit","2026-06-04","passed","2026-06-04","Product Details Functionality","CartManagement.spec.js","",""
"","461","TC_AR_017 - Mobile responsiveness","chromium","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","712","TC_HN_002 - Verify homepage title","firefox","2026-06-04","passed","2026-06-04","Homepage & Navigation - Practice Software Testing","HomePage.spec.js","",""
"","817","TC_PD_008 - Verify buttons exist on page","webkit","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","2540","TC_FV_009 - Verify page remains accessible","webkit","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","852","TC_API_010 - Verify GET request succeeds","webkit","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","1239","TC_AR_005 - Verify password field visibility","chromium","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","798","TC_PD_009 - Verify page refresh functionality","firefox","2026-06-04","passed","2026-06-04","Product Details Functionality","CartManagement.spec.js","",""
"","1258","TC_PF_010 - Verify brand filters section exists","webkit","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","637","TC_PF_007 - Verify Other category navigation","chromium","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","675","TC_AR_015 - Login page refresh functionality","webkit","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","1067","TC_PS_006 - Search using lowercase text","webkit","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","617","TC_RB_001 - Verify homepage loads on Desktop","chromium","2026-06-04","passed","2026-06-04","Responsive & Cross Browser UI","Responsive-CrossBrowserUI.spec.js","",""
"","623","TC_RB_004 - Verify page content visible on Desktop","firefox","2026-06-04","passed","2026-06-04","Responsive & Cross Browser UI","Responsive-CrossBrowserUI.spec.js","",""
"","238","TC_FV_001 - Verify homepage loads","chromium","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","700","TC_FV_008 - Verify page can be reopened","chromium","2026-06-04","passed","2026-06-04","Forms & Validation Testing","FormsValidation.spec.js","",""
"","361","TC_API_015 - Verify API content-type header","chromium","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","1165","TC_PF_011 - Verify price filter section exists","webkit","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","403","TC_RB_002 - Verify homepage loads on Tablet","chromium","2026-06-04","passed","2026-06-04","Responsive & Cross Browser UI","Responsive-CrossBrowserUI.spec.js","",""
"","740","TC_PD_006 - Verify page is accessible","firefox","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","988","TC_PF_003 - Verify By Category section is visible","webkit","2026-06-04","passed","2026-06-04","Product Listing & Filters","Productlisting.spec.js","",""
"","2606","TC_CF_015 - Verify checkout page remains accessible after refresh","webkit","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","783","TC_PS_005 - Verify case insensitive search","firefox","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","2888","TC_AR_011 - Verify account access after login","webkit","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
